intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,p99_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
32,32,32,1,0,5000000,10000,24.11244225502014,10,0.000675649642944337,16529.711917009117,0.76216,True,0.9290613875141096,3.586003299470348,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,32,2,0,5000000,10000,24.138096570968628,10,0.0006899070739746094,16194.721259941876,0.76188,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,32,4,0,5000000,10000,24.13050937652588,10,0.0006883144378662109,16440.539532397645,0.76213,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,32,8,0,5000000,10000,24.150563955307007,10,0.0007083725929260248,16276.343354728193,0.84366,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,32,16,0,5000000,10000,24.108449459075928,10,0.0007609009742736835,15335.152268510656,0.89603,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,32,32,0,5000000,10000,24.13923692703247,10,0.0008202934265136722,14999.594720721565,0.92478,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,32,64,0,5000000,10000,24.161609888076782,10,0.0011876869201660149,11279.181206410987,0.93821,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,1,0,5000000,10000,24.14768958091736,10,0.0006969785690307609,16123.124183697728,0.82849,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,2,0,5000000,10000,24.15481424331665,10,0.0007083511352539065,15903.735177193064,0.82998,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,4,0,5000000,10000,24.14257311820984,10,0.0006886696815490726,16084.298786175043,0.82916,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,8,0,5000000,10000,24.177517890930176,10,0.0006969189643859864,16142.1524002111,0.84346,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,16,0,5000000,10000,24.137428283691406,10,0.0007659912109375007,15457.03065815257,0.8956,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,32,0,5000000,10000,24.134348392486572,10,0.0008285331726074216,14971.522377464607,0.92561,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,64,64,0,5000000,10000,24.12535572052002,10,0.0011478996276855467,11162.686750213365,0.93818,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,128,1,0,5000000,10000,24.167157649993896,10,0.0007226276397705074,15777.403860710741,0.87808,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,128,2,0,5000000,10000,24.17175269126892,10,0.0007326149940490726,15790.422490446734,0.87791,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
32,32,128,4,0,5000000,10000,24.122275352478027,10,0.0007387256622314459,15823.013213996644,0.87766,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
