M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
16,128,128,5000000,10000,62.786264419555664,0.4998440742492676,0.03052931785583496,17964.788739264815,100,0.72002,2.1,2.4,1.2120018005371094
16,128,256,5000000,10000,70.85908007621765,0.6019141674041748,0.03168744802474975,16949.12000409715,100,0.77206,2.1,2.4,1.2121467590332031
16,128,512,5000000,10000,72.31758666038513,0.9353492259979248,0.03860535621643064,14384.814338070617,100,0.80041,2.1,2.4,1.2120819091796875
16,128,768,5000000,10000,72.12527775764465,1.1257903575897217,0.04503479003906249,12688.156414071387,100,0.81338,2.1,2.4,1.2119102478027344
16,128,1024,5000000,10000,71.07617926597595,1.3021976947784424,0.04597334146499633,11199.336931995882,100,0.82133,2.1,2.4,1.2120018005371094
16,256,8,5000000,10000,139.45331192016602,0.4178168773651123,0.027138500213623042,20115.637557141028,100,0.37179,2.1,2.4,1.2120018005371094
16,256,16,5000000,10000,145.3048379421234,0.4417405128479004,0.028554708957672113,19387.23591224747,100,0.48618,2.1,2.4,1.2120018005371094
16,256,32,5000000,10000,146.19503498077393,0.5295062065124512,0.028876121044158935,19414.34936560525,100,0.5947,2.1,2.4,1.2121353149414062
16,256,64,5000000,10000,123.47876024246216,0.43796396255493164,0.029765548706054686,18953.477899435195,100,0.68081,2.1,2.4,1.21173095703125
16,256,128,5000000,10000,140.89179301261902,0.5055482387542725,0.030393397808074957,17841.24635531156,100,0.74733,2.1,2.4,1.2120018005371094
16,256,256,5000000,10000,140.63104677200317,0.7083945274353027,0.035933094024658205,16036.346006665468,100,0.78695,2.1,2.4,1.2120018005371094
16,256,512,5000000,10000,146.43750309944153,0.9240772724151611,0.04000044345855715,13818.646565917092,100,0.81517,2.1,2.4,1.2119407653808594
16,256,768,5000000,10000,126.39945936203003,1.1408979892730713,0.0460445284843445,12043.783993400113,100,0.82244,2.1,2.4,1.2118148803710938
16,256,1024,5000000,10000,145.8285732269287,1.5796985626220703,0.049683327674865725,10520.979578054781,100,0.83324,2.1,2.4,1.2118682861328125
16,512,8,5000000,10000,275.45015692710876,0.4332597255706787,0.028174104690551757,19963.909813106166,100,0.3754,2.1,2.4,1.2121543884277344
16,512,16,5000000,10000,250.39944863319397,0.4443700313568115,0.028506917953491185,19592.67944499068,100,0.49569,2.1,2.4,1.2121238708496094
16,512,32,5000000,10000,277.5994827747345,0.4673326015472412,0.028087968826293944,19690.54945866562,100,0.60097,2.1,2.4,1.2120437622070312
16,512,64,5000000,10000,285.09831166267395,0.4882235527038574,0.030012698173522947,18439.078754347185,100,0.69205,2.1,2.4,1.2120094299316406
16,512,128,5000000,10000,279.348393201828,0.5356361865997314,0.031540739536285424,17814.856284562742,100,0.75717,2.1,2.4,1.2120018005371094
16,512,256,5000000,10000,245.0203456878662,0.6916224956512451,0.03613409996032715,16141.826559691388,100,0.79605,2.1,2.4,1.2120018005371094
16,512,512,5000000,10000,283.41870045661926,0.9539675712585449,0.041605818271636966,13339.77646907951,100,0.82154,2.1,2.4,1.2118492126464844
16,512,768,5000000,10000,258.54679822921753,1.2680740356445312,0.04709620475769037,11433.276584863732,100,0.82971,2.1,2.4,1.2120018005371094
16,512,1024,5000000,10000,265.63450360298157,1.5976612567901611,0.05256873607635494,9911.434970601053,100,0.83528,2.1,2.4,1.2116889953613281
32,32,8,5000000,10000,42.900137186050415,0.42241382598876953,0.027621364593505855,19617.878403253035,100,0.42117,2.1,2.5,1.8075065612792969
32,32,16,5000000,10000,43.559916496276855,0.4321146011352539,0.0292331886291504,19068.59774152749,100,0.53228,2.1,2.5,1.8075180053710938
32,32,32,5000000,10000,43.28497505187988,0.4343137741088867,0.028732337951660157,19059.343219035334,100,0.63435,2.1,2.5,1.8074378967285156
32,32,64,5000000,10000,45.60945916175842,0.48619651794433594,0.03101487159729003,18096.079010851914,100,0.72185,2.1,2.5,1.8068580627441406
32,32,128,5000000,10000,48.32529401779175,0.5804564952850342,0.03324414253234863,16866.36989369242,100,0.78489,2.1,2.5,1.80743408203125
