M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,avg_query_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
32,128,64,5000000,10000,99.31549406051636,3.9760398864746094,0.02675807476043701,2021.5091433772657,10,0.2922,2.0,2.3,1.8076667785644531
32,128,128,5000000,10000,99.69249224662781,4.361077785491943,0.02624658107757568,2018.0022011066828,10,0.41606,2.0,2.3,1.8070220947265625
32,128,256,5000000,10000,99.33408451080322,5.114667177200317,0.027677087783813465,1993.7585470894676,10,0.55009,2.0,2.3,1.8074073791503906
32,128,512,5000000,10000,98.24925065040588,6.391058683395386,0.029989049434661866,1945.384542599745,10,0.67644,2.0,2.3,1.8069915771484375
32,128,768,5000000,10000,99.39029169082642,7.598156452178955,0.030642738342285154,1870.5714731999092,10,0.73373,1.9,2.3,1.80743408203125
32,128,1024,5000000,10000,99.53420901298523,9.09618616104126,0.031711091995239256,1787.9483138955165,10,0.7661,1.9,2.3,1.8071327209472656
32,256,8,5000000,10000,211.09066772460938,3.586202621459961,0.02616602420806885,2027.3306813983863,10,0.09579,1.9,2.3,1.80743408203125
32,256,16,5000000,10000,210.90270018577576,3.6523497104644775,0.026931846141815187,2028.6682240816149,10,0.14606,1.9,2.3,1.80743408203125
32,256,32,5000000,10000,211.32128524780273,3.816340684890747,0.02598922967910767,2024.6049054616535,10,0.21866,1.9,2.3,1.80743408203125
32,256,64,5000000,10000,211.58709502220154,4.079334735870361,0.02655548095703125,2022.7620054810916,10,0.32079,1.9,2.3,1.8071823120117188
32,256,128,5000000,10000,211.21839213371277,4.532605409622192,0.02628272056579586,2012.3281251599751,10,0.45173,1.9,2.3,1.8071670532226562
32,256,256,5000000,10000,211.0763852596283,5.337278127670288,0.028765561580657947,1988.1252853078317,10,0.59153,1.9,2.3,1.8073768615722656
32,256,512,5000000,10000,211.77106738090515,6.824734449386597,0.03049726486206055,1908.1381367262115,10,0.71512,1.9,2.3,1.8070602416992188
32,256,768,5000000,10000,210.98084497451782,8.15527629852295,0.030866918563842764,1819.4446333774804,10,0.76825,1.9,2.3,1.807373046875
32,256,1024,5000000,10000,211.2445831298828,11.341257572174072,0.03313361167907715,1719.6337684794896,10,0.79636,1.9,2.3,1.80743408203125
32,512,8,5000000,10000,433.53663206100464,3.6148598194122314,0.026405897140502937,2031.5921712208174,10,0.10143,1.9,2.3,1.8074378967285156
32,512,16,5000000,10000,434.33506989479065,3.7188632488250732,0.02594845294952393,2027.160660063883,10,0.15289,1.9,2.3,1.8073959350585938
32,512,32,5000000,10000,434.6218092441559,3.8586602210998535,0.02630370855331421,2022.8472106967529,10,0.22737,1.9,2.3,1.8075218200683594
32,512,64,5000000,10000,432.5056757926941,4.125250339508057,0.026982975006103506,2017.715508840523,10,0.33652,1.9,2.3,1.8074150085449219
32,512,128,5000000,10000,433.21657705307007,4.6364054679870605,0.027845015525817862,2011.6719170969163,10,0.47505,1.9,2.3,1.807098388671875
32,512,256,5000000,10000,433.7307426929474,5.49828314781189,0.028901081085205078,1971.8954066021352,10,0.61651,1.9,2.3,1.8067665100097656
32,512,512,5000000,10000,434.17090463638306,7.058045387268066,0.030073366165161083,1886.7784950923528,10,0.73556,1.9,2.3,1.807586669921875
32,512,768,5000000,10000,435.9077754020691,8.672792673110962,0.03091666936874392,1778.1836199995219,10,0.79099,1.9,2.3,1.80743408203125
32,512,1024,5000000,10000,406.2175886631012,12.236019372940063,0.03375960350036621,1653.7218543021145,10,0.8122,1.9,2.3,1.8073463439941406
