M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
16,64,768,5000000,10000,35.750324726104736,0.9999971389770508,0.038381385803222604,13618.34176075362,100,0.77169,2.1,2.4,1.2120018005371094
16,64,1024,5000000,10000,35.83787727355957,1.2499127388000488,0.044410495758056626,12185.23206944975,100,0.78502,2.1,2.4,1.2119598388671875
16,128,8,5000000,10000,65.78480911254883,0.3730754852294922,0.027649021148681636,19838.18930483137,100,0.25273,2.1,2.4,1.212127685546875
16,128,16,5000000,10000,61.83004903793335,0.37968993186950684,0.027034606933593757,19788.022145118564,100,0.3609,2.1,2.4,1.2120018005371094
16,128,32,5000000,10000,61.50132465362549,0.39696812629699707,0.028378760814666754,19525.612460583725,100,0.47454,2.1,2.4,1.2120018005371094
16,128,64,5000000,10000,69.31475615501404,0.42885804176330566,0.02944188356399536,19152.27869778957,100,0.57888,2.1,2.4,1.212158203125
16,128,128,5000000,10000,69.96046996116638,0.4898185729980469,0.0302333402633667,18232.845770644737,100,0.66496,2.1,2.4,1.2121849060058594
16,128,256,5000000,10000,72.49485921859741,0.5992317199707031,0.03441804885864257,16852.606991494944,100,0.73358,2.1,2.4,1.2119522094726562
16,128,512,5000000,10000,62.817936420440674,0.8389792442321777,0.03837109804153442,14498.782980399823,100,0.77956,2.1,2.4,1.2122116088867188
16,128,768,5000000,10000,63.03886604309082,1.0921835899353027,0.042026085853576665,12849.951362201156,100,0.79877,2.1,2.4,1.2121505737304688
16,128,1024,5000000,10000,72.21077609062195,1.3573999404907227,0.04863624572753907,11295.386810910215,100,0.81194,2.1,2.4,1.2123146057128906
16,256,8,5000000,10000,132.57053089141846,0.43036389350891113,0.027788138389587373,19885.79265736987,100,0.26458,2.1,2.4,1.2119178771972656
16,256,16,5000000,10000,125.73324823379517,0.3750479221343994,0.028080153465270995,19957.658945007937,100,0.37457,2.1,2.4,1.2121658325195312
16,256,32,5000000,10000,133.61761116981506,0.42760801315307617,0.028414545059204103,19721.154846965037,100,0.4906,2.1,2.4,1.2117996215820312
16,256,64,5000000,10000,131.46676659584045,0.5093626976013184,0.029395174980163575,18866.917363540462,100,0.60373,2.1,2.4,1.2118949890136719
16,256,128,5000000,10000,140.08118796348572,0.5176732540130615,0.030481448173522947,18209.646276963857,100,0.6904,2.1,2.4,1.2120513916015625
16,256,256,5000000,10000,145.33309698104858,0.6774473190307617,0.034895353317260736,16443.802772877538,100,0.75731,2.1,2.4,1.212005615234375
16,256,512,5000000,10000,130.079345703125,0.880518913269043,0.0410953426361084,13745.681345837882,100,0.80315,2.1,2.4,1.2121124267578125
16,256,768,5000000,10000,135.8979172706604,1.2142648696899414,0.04364806652069085,11919.164571113837,100,0.81762,2.1,2.4,1.2117729187011719
16,256,1024,5000000,10000,129.31549453735352,1.4778494834899902,0.05119268178939819,10483.633070538237,100,0.82445,2.1,2.4,1.2118797302246094
