intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,avg_query_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
32,32,256,8,0,5000000,10000,24.095958471298218,10,0.0013604760169982906,10481.05443938061,0.94414,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,256,16,0,5000000,10000,24.117815494537354,10,0.001377124786376953,10449.745581563977,0.9439,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,256,32,0,5000000,10000,24.14053750038147,10,0.0013519287109375003,10506.437379387993,0.94465,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,256,64,0,5000000,10000,24.152518272399902,10,0.00135894775390625,10461.25505367857,0.9436,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,1,0,5000000,10000,24.133697271347046,10,0.001494197845458985,9613.464061624682,0.96162,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,2,0,5000000,10000,24.178815603256226,10,0.0014551734924316412,9628.339217641473,0.96211,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,4,0,5000000,10000,24.135919332504272,10,0.001499300003051758,9597.857938145959,0.96194,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,8,0,5000000,10000,24.158692598342896,10,0.0015219092369079565,9549.663942346497,0.96211,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,16,0,5000000,10000,24.149291038513184,10,0.0015034198760986344,9594.485939538388,0.96173,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,32,0,5000000,10000,24.10781478881836,10,0.0014935302734375,9555.711340610207,0.96183,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,512,64,0,5000000,10000,24.134690284729004,10,0.0015143966674804688,9630.543300696658,0.96198,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,1,0,5000000,10000,26.913623809814453,10,0.0009226799011230469,13962.12089656026,0.86302,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,2,0,5000000,10000,26.92392349243164,10,0.0008890891075134279,13988.053712580388,0.86328,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,4,0,5000000,10000,26.8958477973938,10,0.0009358882904052738,13822.926118417943,0.86242,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,8,0,5000000,10000,26.90400457382202,10,0.0009384250640869143,13803.237940531168,0.8635,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,16,0,5000000,10000,26.941649436950684,10,0.0009378576278686523,13921.474017118473,0.86371,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,32,0,5000000,10000,26.941132068634033,10,0.0009370899200439459,13846.544953256122,0.86283,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,32,64,0,5000000,10000,26.99799132347107,10,0.0012018680572509783,11339.428641959023,0.90035,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,1,0,5000000,10000,26.93751573562622,10,0.0011311531066894535,11364.821442877066,0.89155,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,2,0,5000000,10000,26.931349754333496,10,0.0011132860183715836,11411.168466707573,0.89148,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,4,0,5000000,10000,26.933948755264282,10,0.0011929726600646948,11369.86784975962,0.8915,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,8,0,5000000,10000,26.90368366241455,10,0.0011307311058044505,11459.732622006986,0.89095,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,16,0,5000000,10000,26.9131281375885,10,0.0011563181877136224,11350.183074731596,0.89205,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,32,0,5000000,10000,26.950247049331665,10,0.0010777711868286124,11516.744048445058,0.89125,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,64,64,0,5000000,10000,26.926334142684937,10,0.001224613189697266,11347.3306368094,0.89887,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,1,0,5000000,10000,26.931501150131226,10,0.0013282299041748047,10754.911566820296,0.91952,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,2,0,5000000,10000,26.937246799468994,10,0.0013211154937744132,10852.5368331487,0.92007,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,4,0,5000000,10000,26.935229063034058,10,0.0013048171997070302,10889.811672379923,0.92046,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,8,0,5000000,10000,26.93519377708435,10,0.0013512468338012715,10875.012417295842,0.9211,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,16,0,5000000,10000,26.929770946502686,10,0.0013199806213378897,10845.473794569256,0.92007,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,32,0,5000000,10000,26.895737409591675,10,0.0013363265991210935,10829.898303875456,0.92005,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,128,64,0,5000000,10000,26.929365158081055,10,0.0013427495956420902,10865.171452315426,0.91893,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,1,0,5000000,10000,26.928085327148438,10,0.0014057683944702151,10346.999413790252,0.9452,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,2,0,5000000,10000,26.934571266174316,10,0.0013716316223144533,10381.14950635089,0.94488,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,4,0,5000000,10000,26.948981523513794,10,0.0014023041725158675,10361.820650407637,0.94372,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,8,0,5000000,10000,26.89287519454956,10,0.0013916492462158203,10304.05912390003,0.9437,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,16,0,5000000,10000,26.86064386367798,10,0.0013897991180419973,10347.363430911795,0.94411,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,32,0,5000000,10000,26.896351099014282,10,0.001400055885314941,10293.785563395622,0.94424,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,256,64,0,5000000,10000,26.96485424041748,10,0.0013952136039733888,10294.349382893677,0.94432,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,1,0,5000000,10000,26.905324935913086,10,0.0022230863571166995,9550.720311387586,0.95916,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,2,0,5000000,10000,26.910151958465576,10,0.0021270179748534637,9563.99030296682,0.95867,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,4,0,5000000,10000,26.888302326202393,10,0.0023745536804199233,9567.408697926283,0.95881,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,8,0,5000000,10000,26.899861812591553,10,0.0022018194198608534,9536.295651464625,0.95908,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,16,0,5000000,10000,26.95137858390808,10,0.002391242980957029,9601.353484698524,0.9595,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,32,0,5000000,10000,26.949321508407593,10,0.0023206424713134756,9570.138093912527,0.95848,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,32,512,64,0,5000000,10000,26.939825534820557,10,0.002153258323669441,9567.8808870505,0.95846,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
64,64,32,1,0,5000000,10000,28.463195323944092,10,0.0010505342483520504,12688.191690806807,0.91526,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,32,2,0,5000000,10000,28.473782300949097,10,0.00103283405303955,12919.312881779219,0.91466,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,32,4,0,5000000,10000,28.47515368461609,10,0.0010543060302734375,12786.156671220666,0.91417,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,32,8,0,5000000,10000,28.474462270736694,10,0.0010371088981628415,12832.318834706308,0.91482,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,32,16,0,5000000,10000,28.474003553390503,10,0.0010542154312133795,12890.57560902402,0.91448,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,32,32,0,5000000,10000,28.45155143737793,10,0.001035079956054688,12897.10783473782,0.91433,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,32,64,0,5000000,10000,28.449920892715454,10,0.001252510547637935,10515.951174627884,0.94062,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,1,0,5000000,10000,28.460142850875854,10,0.0012366247177124025,10577.832493556023,0.93501,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,2,0,5000000,10000,28.421361923217773,10,0.0012318515777587895,10570.041225877181,0.93454,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,4,0,5000000,10000,28.494972467422485,10,0.0012438416481018047,10580.958786785888,0.93614,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,8,0,5000000,10000,28.468406915664673,10,0.0012388038635253902,10564.551265745713,0.93573,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,16,0,5000000,10000,28.50173830986023,10,0.0012280941009521502,10610.697678750512,0.9354,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,32,0,5000000,10000,28.494683265686035,10,0.0012216138839721683,10538.65927885653,0.93549,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,64,64,0,5000000,10000,28.488751888275146,10,0.0013071155548095704,10497.424478465744,0.94132,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
64,64,128,1,0,5000000,10000,28.521744966506958,10,0.0014676475524902331,9943.284515533898,0.95395,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"1.0-2.0, 2.0-3.0"
